,자치구,스포츠_동호회_수,장애인_커뮤니티,내부시설수,외부시설수,소계_설치의무대상,소계_설치완료,매개시설_설치의무대상,매개시설_설치완료,내부시설_설치의무대상,내부시설_설치완료,위생시설_설치의무대상,위생시설_설치완료,안내시설_설치의무대상,안내시설_설치완료,기타시설_설치의무대상,기타시설_설치완료,지하철_엘리베이터_수,구별_역수,장애인_합계,지체_인구,뇌병변_인구,시각_인구,청각_인구,언어_인구,지적장애_인구,정신장애_인구,자폐성_인구,신장장애_인구,심장장애_인구,호흡기_인구,간_인구,안면_인구,장루/요루_인구,뇌전증_인구,전동보장구_급속충전소,지하철_휠체어리프트_수,2022년_생활체육_총강좌수,장애인_의료_사회복지시설_수
0,강남구,2.0,1.0,20.0,1.0,11798.0,11678.0,3285.0,3273.0,5210.0,5190.0,3040.0,2973.0,189.0,180.0,62.0,62.0,53.0,22.0,15200.0,6077.0,1754.0,1562.0,1963.0,131.0,1028.0,834.0,573.0,827.0,47.0,103.0,141.0,19.0,85.0,56.0,24.0,5.0,2.0,22
1,강동구,5.0,1.0,28.0,1.0,5210.0,5180.0,1521.0,1521.0,2683.0,2683.0,842.0,834.0,125.0,125.0,22.0,6.0,47.0,15.0,18307.0,7957.0,2001.0,1930.0,2451.0,200.0,1387.0,638.0,426.0,852.0,49.0,94.0,120.0,20.0,124.0,58.0,22.0,4.0,6.0,17
2,강북구,7.0,1.0,10.0,3.0,1742.0,1715.0,618.0,618.0,892.0,878.0,200.0,188.0,8.0,8.0,24.0,23.0,8.0,4.0,17441.0,7690.0,1745.0,1940.0,2664.0,145.0,1225.0,740.0,163.0,728.0,35.0,101.0,85.0,6.0,125.0,49.0,21.0,0.0,2.0,8
3,강서구,15.0,5.0,19.0,7.0,5177.0,5172.0,1659.0,1659.0,2762.0,2760.0,672.0,670.0,83.0,83.0,0.0,0.0,27.0,10.0,28727.0,12255.0,2942.0,2822.0,4416.0,238.0,2011.0,1598.0,372.0,1354.0,62.0,169.0,152.0,35.0,181.0,120.0,37.0,3.0,3.0,17
4,관악구,1.0,2.0,16.0,6.0,2378.0,2336.0,672.0,669.0,1176.0,1165.0,457.0,431.0,73.0,71.0,0.0,0.0,11.0,5.0,20265.0,8909.0,1989.0,2234.0,3055.0,173.0,1348.0,863.0,253.0,982.0,42.0,91.0,109.0,14.0,146.0,57.0,34.0,0.0,5.0,12
5,광진구,2.0,0.0,5.0,1.0,3611.0,3603.0,1165.0,1165.0,1970.0,1970.0,419.0,411.0,31.0,31.0,14.0,14.0,37.0,12.0,12353.0,5593.0,1221.0,1316.0,1702.0,92.0,812.0,513.0,174.0,600.0,37.0,65.0,69.0,8.0,109.0,42.0,37.0,7.0,6.0,9
6,구로구,1.0,4.0,3.0,1.0,3142.0,3094.0,1023.0,1019.0,1663.0,1661.0,423.0,381.0,33.0,33.0,0.0,0.0,23.0,8.0,18280.0,8235.0,1752.0,1889.0,2828.0,147.0,1249.0,648.0,288.0,772.0,54.0,105.0,104.0,26.0,131.0,52.0,15.0,17.0,4.0,8
7,금천구,2.0,0.0,0.0,1.0,3206.0,3203.0,1127.0,1127.0,1610.0,1610.0,387.0,385.0,10.0,10.0,72.0,71.0,4.0,2.0,11390.0,5164.0,1080.0,1171.0,1798.0,89.0,768.0,431.0,123.0,475.0,37.0,58.0,51.0,16.0,85.0,44.0,19.0,4.0,4.0,7
8,노원구,15.0,1.0,10.0,0.0,1537.0,1526.0,478.0,478.0,722.0,714.0,285.0,283.0,51.0,51.0,0.0,0.0,52.0,14.0,27312.0,11819.0,2911.0,2775.0,3588.0,248.0,2296.0,1496.0,386.0,1105.0,93.0,151.0,111.0,32.0,187.0,114.0,60.0,7.0,10.0,28
9,동작구,4.0,2.0,8.0,4.0,1510.0,1508.0,530.0,530.0,745.0,743.0,209.0,209.0,23.0,23.0,3.0,3.0,41.0,13.0,14607.0,6303.0,1510.0,1543.0,2403.0,141.0,901.0,526.0,231.0,663.0,38.0,67.0,109.0,11.0,114.0,47.0,2.0,10.0,6.0,10
