ITEM_CD,ITEM_NM,COURSE_NM,TROBL_TY_NM,BEGIN_TM,END_TM,POSBL_WKDAY_FLAG_CD,COURSE_DETAIL_CN,SUPLI_SLE_AT,SETLE_PRICE
01,검도,검도교실,,060000,070000,1011100,,N,100000
01,검도,해동검도,,100000,110000,1111100,,N,160000
01,검도,초 중 고 검도,지적장애,150000,200000,1010100,,N,150000
01,검도,검도개인지도,,190000,201000,1010100,,N,95000
01,검도,청소년검도교실,,153000,203000,1111100,,N,95000
01,검도,검법수련과정,,140000,200000,1111100,,N,95000
01,검도,검도,,140000,150000,0010000,,N,95000
01,검도,검도,,160000,190000,1111000,,N,80000
01,검도,효성검도관,,100000,110000,0000010,"타인에게 피해가 갈 경우 수강이 취소될수있으며,,코로나19로 인해 강좌시간이 변동될 수 있음을 알립니다.",N,95000
01,검도,검도,,110000,200000,1010100,,N,85000
01,검도,검도 및 스포츠,,140000,200000,1111100,,N,95000
01,검도,검도 및 스포츠,,130000,203000,1111100,"시간 협의가능.  월 수 금 : 점핑스포츠, 교구수업, 에어바운스 등 화 목 : 검도",N,95000
01,검도,검법수련과정,,100000,110000,1010000,,N,95000
01,검도,해동검도 검법수련과정,,100000,113000,1010000,,N,95000
01,검도,"무기술(쌍절곤, 검)",,140000,200000,0000100,사회복지사/장애인활동지원사 근무,N,95000
01,검도,검도,,110000,200000,1010100,,N,95000
01,검도,검도,,110000,190000,1011000,,N,85000
01,검도,해동검도,,153000,203000,1010100,수련 내용과 시간 등 궁금한 사항은 문자나 전화 주십시오. 051-208-3155 휴대폰 010-3580-3055,N,140000
01,검도,검법,지적장애,153000,203000,1000100,"수련 내용과 시간 등 궁금한 사항은 문자나 전화 주십시오. ,051-208-3155  휴대폰 010-3580-3055",N,85000
01,검도,검도교실,,110000,200000,1010100,,N,85000
01,검도,"검도(95,000)",,183000,193000,1010100,"&quot; 꼭~ 한번 배우고 싶었던 검도! 망설이지 말고 지금 시작하세요.&quot;   ,,남,녀,노,소 누구나 가능",N,95000
01,검도,"검도(95,000)",,170000,180000,1010100,"&quot; 꼭~ 한번 배우고 싶었던 검도! 망설이지 말고 지금 시작하세요.&quot;   ,,남,녀,노,소 누구나 가능",N,95000
01,검도,검도,,103000,113000,1000100,,N,95000
01,검도,검도,,183000,210000,1111100,"월 회비 :13만원,(지원금 95,000 + 자기부담금 35,000),// 수련시간 상담 환영",N,95000
01,검도,해동검도 다사도장 형제전용,,132000,215000,1111100,,N,95000
01,검도,검도+줄넘기+놀이체육,,143000,173000,1111100,,N,95000
01,검도,대한검도06A,,060000,065000,1010100,※ 상담 후 수강신청 가능함 ☎ 02)3423-1070,N,22000
01,검도,대천검도관,,150000,203000,1111100,,N,110000
01,검도,김선미사범 개인지도,,110000,213000,1111100,"총수련료는 130,000원입니다,지원금 95,000원 + 자기부담금(35,000원) ,체육관(마루바닥) 내 휠체어 사용 불가합니다, 여성사범 안심지도",N,95000
01,검도,검도,,143000,213000,1111100,,N,95000
01,검도,격검,,153000,203000,0101000,수련 내용과 시간 등 궁금한 사항은 문자나 전화 주십시오. 051-208-3155 휴대폰 010-3580-3055,N,95000
01,검도,검도,,160000,210000,1111100,,N,85000
01,검도,검도,,160000,210000,1111100,,N,95000
01,검도,해동검도 다사도장 주 5회,,132000,220000,1111100,,N,140000
01,검도,검도4부,,200000,210000,1111100,,N,95000
01,검도,택견,,130000,220000,1111110,,N,80000
01,검도,해동검도,,153000,210000,1111100,,N,150000
01,검도,검도,,150000,200000,1111100,,N,95000
01,검도,해동검도.음악줄넘기.전통활쏘기,,150000,210000,1111111,4개월째 등록시 도복 무료 지원.,N,95000
01,검도,검도,,173000,182000,1111100,"즐겁고 바르고 사이좋게,검우들 상호친목과 건강유지,본인부담금없음",N,85000
01,검도,검도수련및 키크기체조,,140000,150000,1111100,,N,95000
01,검도,"해동검도, 기초체력훈련",,130000,150000,0000010,,N,95000
01,검도,검도교실,지적,173000,183000,1111100,,N,95000
01,검도,해동검도 주4회,,132000,215000,1111100,,N,130000
