ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLSSRM_NM,TROBL_TY_NM,OPER_TIME_CN,CLSSRM_INTRCN_CN,RCRIT_PD,OPER_PD
검도,,대전,동구,2022 검도 생활체육교실,지적장애,화 11:00 ~ 12:00,,20220405~20221122,20220405~20221122
검도,,인천,연수구,인천중앙초등학교 검도교실,지적장애,월/목 09:00 ~ 11:00,사업명: 인천중앙초등학교 검도교실  운영일시:월/목(09:00 ~ 11:00)  운영장소:인천중앙초등학교 강당  운영종목:검도,20220401~20221231,20220401~20221231
검도,,대전,동구,2022년 장애청소년 검도교실,지적장애,"화, 금 14:00 ~ 15:00",,20220617~20221230,20220617~20221230
검도,,제주,제주시,(지방비)지체·뇌병변장애인 당구교실,기타장애,매주화요일 10:00~12:00,,20220301~20221130,20220401~20221130
검도,,제주,제주시,(지방비)지적장애인 검도교실,지적장애,매주금요일 16:00-17:00,,20220301~20221130,20220401~20221130
검도,,대전,동구,2022 대전광역시장애인검도협회 검도교실,지적장애,수 10:30 ~ 12:00,,20220406~20221026,20220406~20221026
검도,,서울,강서구,2022 강서구 직장인 장애인 검도교실,지적장애,수 15:00-16:00,,20220406~20220921,20220406~20220921
게이트볼,,광주,서구,(시비)2022 장애인어르신 생활체육 게이트볼교실(이계정),청각장애,매주 화 14:00~16:00,,20220103~20220404,20220405~20220920
게이트볼,,전북,장수군,2022 전북장애인게이트볼교실(장수),기타장애,15:00~17:00,,20220401~20220531,20220601~20221130
게이트볼,,대전,유성구,2022 우리누리 게이트볼 교실,기타장애,월 10:00 ~ 11:00,,20220404~20221114,20220404~20221114
게이트볼,,서울,중랑구,2022 중랑구 어르신장애인 게이트볼교실,지체장애,수 14:00-16:00,,20220406~20220928,20220406~20220928
게이트볼,,경기,구리시,구리시 게이트볼 교실,지체장애,14:00-15:00,,20220101~20221231,20220101~20221231
게이트볼,,서울,성동구,2022 성동구 어르신장애인 게이트볼교실(청바지),지체장애,"월,목 14:00-16:00",,20220404~20220930,20220404~20220930
게이트볼,,인천,서구,인천농아인 게이트볼교실,청각장애,"화,목 15:00 ~ 17:00","사업명:인천농아인 게이트볼교실  운영일시:화,목 15:00 ~ 17:00  운영장소:서구게이트볼장  운영종목:게이트볼",20220401~20221231,20220401~20221231
