"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소","정원(수용인원)","현인원","전화번호","우편번호"
"영등포구 장애인사랑나눔의 집","C0384","(장애인) (기타)장애인복지시설","장애인기타","자치구","김금상","1156000000","영등포구","서울특별시 영등포구 신길로 55","300","300","02-846-0042","150851"
"마포점자도서실","C1764","(장애인) (기타)장애인복지시설","장애인기타","자치구","김옥숙","1144000000","마포구","서울특별시 마포구 망원2동 451-1","10","10","02-338-0180","03957"
"사람희망 금천장애인자립생활센터","F04194","(장애인) 중증장애인자립생활지원센터","장애인기타","자치구","황백남","1154500000","금천구","서울특별시 금천구 독산로 70C동 603호(현대지식산업센터) (시흥동)","0","38","070-4035-4340","08573"
"해오름장애인자립생활센터","F04195","(장애인) 중증장애인자립생활지원센터","장애인기타","자치구","안권수","1156000000","영등포구","서울특별시 영등포구 국회대로62길 14한국스카우트연맹 302호 (여의도동)","11","11","02-786-8482","07235"
"이음장애인자립생활센터","F04196","(장애인) 중증장애인자립생활지원센터","장애인기타","자치구","이규식","1156000000","영등포구","서울특별시 영등포구 선유로 1461213호 (양평동3가)","","40","02-6081-5900","07255"
"장애인자립생활주택(가형)-강동장애인자립생활센터","F04607","(장애인) 중증장애인자립생활지원센터","장애인기타","자치구","이태규","1174000000","강동구","서울특별시 강동구 올림픽로98가길 6-14101호 (암사동, 세종그랑빌3차)","2","2","02-485-0546","05262"
"장애인자립생활주택(다형) 해뜨는양지","F04608","(장애인) 중증장애인자립생활지원센터","장애인기타","자치구","오성섭","1174000000","강동구","서울특별시 강동구 상암로81길 10-1 (상일동, 태건빌)","2","2","02-442-9664","05284"
"장애인자립생활주택(가형)-해뜨는양지","F04609","(장애인) 중증장애인자립생활지원센터","장애인기타","자치구","오성섭","1174000000","강동구","서울특별시 강동구 천중로9길 40101호 (천호동)","2","0","02-442-9664","05323"
"성동발달장애인평생교육센터","F14045","(장애인) (기타)장애인복지시설","장애인기타","자치구","김상육","1120000000","성동구","서울특별시 성동구 성수이로 1445층 (성수동2가)(성수동2가)","","","02-6952-7942","04796"
"동작발달장애인평생교육센터","F14050","(장애인) (기타)장애인복지시설","장애인기타","자치구","도병문","1159000000","동작구","서울특별시 동작구 사당로 253-31층 (사당동)(사당동)","","","02-534-0535","07005"
"관악구발달장애인평생교육센터","F14051","(장애인) (기타)장애인복지시설","장애인기타","자치구","김재정","1162000000","관악구","서울특별시 관악구 신림로 1584~5층 (신림동)","","","02-878-0155","08838"
"서울시그룹홈지원센터","Z5561","(장애인) (기타)장애인복지시설","장애인기타","자치구","김수진","1168000000","강남구","서울특별시 강남구 도곡로 416-0서울특별시립장애인행복플러스센터 2층","100","100","02-756-7060","06278"
"꿈더하기지원센터","Z5943","(장애인) (기타)장애인복지시설","장애인기타","자치구","김하정","1156000000","영등포구","서울특별시 영등포구 영등포로64길 15울림동 1층 (신길동)","0","40","02-849-8533","07317"
"은평발달장애인평생교육센터","Z6123","(장애인) (기타)장애인복지시설","장애인기타","자치구","유승남","1138000000","은평구","서울특별시 은평구 통일로934 (불광동, 1층)","30","30","02-383-5100","03337"
"강남장애인가족지원센터","Z6164","(장애인) 장애인자립지원센터","장애인기타","자치구","황숙현","1168000000","강남구","서울특별시 강남구 밤고개로1길 10, 826호 (수서동, 수서현대벤처빌)","30","30","0234128551","06349"
"Good Job 자립생활센터","Z6176","(장애인) 장애인자립지원센터","장애인기타","자치구","김재익","1168000000","강남구","서울특별시 강남구 테헤란로8길 36 (역삼동)","","30","025182197","135660"
"양천구발달장애인평생교육센터","Z6188","(장애인) (기타)장애인복지시설","장애인기타","자치구","김오택","1147000000","양천구","서울특별시 양천구 중앙로 181, 지하층101호 (신정동, 복합메디컬타운)","30","","02-6735-2600","08106"
"서대문 발달장애인평생교육센터","Z6205","(장애인) (기타)장애인복지시설","장애인기타","자치구","오은경","1141000000","서대문구","서울특별시 서대문구 증가로4길63-17 (홍은동)","30","24","02-6358-8700","03663"
"강남세움 발달장애인 평생교육센터","Z6223","(장애인) (기타)장애인복지시설","장애인기타","자치구","최윤미","1168000000","강남구","서울특별시 강남구 광평로60길22, 4층 (수서동)","36","","02-2184-8750","06369"
"노원발달장애인평생교육센터","Z6232","(장애인) (기타)장애인복지시설","장애인기타","자치구","안보현","1135000000","노원구","서울특별시 노원구 동일로250길 44-47 (상계동)","33","","029352999","01622"
"서대문장애인가족지원센터","Z6246","(장애인) (기타)장애인복지시설","장애인기타","자치구","정희경","1141000000","서대문구","서울특별시 서대문구 세검정로 78-19, 1층 (홍제동)","","","023944430","03618"
"용산구장애인가족지원센터","Z6291","(장애인) (기타)장애인복지시설","장애인기타","자치구","송인수","1117000000","용산구","서울특별시 용산구 서빙고로 245, 2층 (서빙고동, 용산구장애인커뮤니티센터)","","","02-798-9935","04384"
"종로발달장애인평생교육센터","Z6295","(장애인) (기타)장애인복지시설","장애인기타","자치구","신건철","1111000000","종로구","서울특별시 종로구 종로17길 8 (종로2가)","30","","029422223","03140"
"영등포구 발달장애인평생교육센터","Z6300","(장애인) (기타)장애인복지시설","장애인기타","자치구","박미진","1156000000","영등포구","서울특별시 영등포구 문래북로 1055~7층, 어울림센터 (당산동1가)","","","01031800216","07292"
"강남발달장애인평생교육센터","Z6325","(장애인) (기타)장애인복지시설","장애인기타","자치구","김미현","1168000000","강남구","서울특별시 강남구 논현로86길 21, 2층 (역삼동)","24","","07043544701","06220"
"도봉발달장애인 평생교육센터","Z6399","(장애인) (기타)장애인복지시설","장애인기타","자치구","성효진","1132000000","도봉구","서울특별시 도봉구 마들로 703, 4~6층 (도봉동)","30","","029557979","01327"
