"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소","정원(수용인원)","현인원","전화번호","우편번호"
"송파구방이복지관","A5039","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김진숙","1171000000","송파구","서울특별시 송파구 백제고분로37길 4 (석촌동)(석촌동)","160","160","02-3432-0477","05615"
"서울시각장애인복지관","A5105","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","서혜미","1171000000","송파구","서울특별시 송파구 삼학사로19길 27　","0","0","02-422-8108","05601"
"서울시립발달장애인복지관","A5108","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","최선자","1159000000","동작구","서울특별시 동작구 여의대방로20길 33-0395(보라매공원내)","752","752","02-840-1500","07062"
"청음복지관","A5237","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","홍희정","1168000000","강남구","서울특별시 강남구 봉은사로50길 6　","","345","02-556-3493","06143"
"마포장애인종합복지관","A5241","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김은선","1144000000","마포구","서울특별시 마포구 성산로4길 353층(마포장애인종합복지관)(성산동)","","3743","02-306-6212","03965"
"다운복지관","A5242","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김인숙","1135000000","노원구","서울특별시 노원구 화랑로478","","414","02-3296-2114","01803"
"원광장애인종합복지관","A6053","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김선기","1126000000","중랑구","서울특별시 중랑구 신내로 56-0(신내동)","500","645","02)438-2691","02069"
"성프란치스꼬장애인종합복지관","A6313","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김희정","1153000000","구로구","서울특별시 구로구 남부순환로105라길 25-10","452","700","02-830-6500","08388"
"성모자애복지관","A6315","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김진영","1168000000","강남구","서울특별시 강남구 헌릉로757길 35　","300","300","0234119581","06378"
"사랑의집","C0084","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","안승표","1138000000","은평구","서울특별시 은평구 역말로10길 30-1오병이어복지관 1층","10","16","070-8632-3378","03392"
"베데스다장애인주간보호센터","C0253","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","심희남","1135000000","노원구","서울특별시 노원구 공릉로58마길 27나눔아트센터 2층 (하계동)","15","17","02-3391-2126","01808"
"다니엘주간보호센터","C0309","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이인숙","1165000000","서초구","서울특별시 서초구 헌릉로468길 21-16(내곡동)","12","12","02-445-9630","06796"
"사랑나눔주간보호시설","C0343","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이득남","1171000000","송파구","서울특별시 송파구 마천로51길 283층","10","10","02-400-8460","05758"
"늘푸른나무복지관","C0421","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","정원택","1150000000","강서구","서울특별시 강서구 허준로5길 37  -0","","500","02)3661-3401","07524"
"서울시립북부장애인종합복지관","C0454","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","신연화","1135000000","노원구","서울특별시 노원구 덕릉로70가길 92(상계6,7동 771번지)(상계동)","0","969","02-2092-1700","01772"
"서울시립남부장애인종합복지관","C0455","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","이수정","1159000000","동작구","서울특별시 동작구 신대방2동395 보라매공원내","0","808","02-829-7100","07062"
"금천장애인종합복지관","C0464","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","박은정","1154500000","금천구","서울특별시 금천구 시흥대로101길 17","0","227","02-6912-8000","153829"
"볕바라기주간보호센터","C0488","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","신혜옥","1154500000","금천구","서울특별시 금천구 금하로18길 8-1 (시흥동)","10","10","02-866-1314","08629"
"시립서대문농아인복지관","C0613","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김연신","1141000000","서대문구","서울특별시 서대문구 수색로4가길 23(남가좌동)","398","329","02-3156-6699","03712"
"용산구립장애인주간보호센터","C0654","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","임종민","1117000000","용산구","서울특별시 용산구 한강대로 3313층","15","15","02-701-4282","04320"
"송파인성장애인복지관","C0688","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","양재혁","1171000000","송파구","서울특별시 송파구 마천로61길 26송파인성장애인복지관","0","0","02-431-8881","138820"
"사랑의복지관","C0689","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","남동우","1165000000","서초구","서울특별시 서초구 강남대로 65길 19  ","","237","070-7727-2520","137856"
"성북장애인복지관","C0700","(장애인) 장애인복지관","장애인지역사회재활시설","자치구","김용진","1129000000","성북구","서울특별시 성북구 화랑로 130　","","280","02-915-9200","136130"
"하누리주간보호센터","C0740","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","박태호","1154500000","금천구","서울특별시 금천구 시흥대로2길57 (시흥동)","18","15","02-802-8024","08654"
"헬렌켈러의집주간보호","C0743","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","윤미진","1130500000","강북구","서울특별시 강북구 삼양로80길 73층","10","11","02-6402-1791","01112"
"다니엘사랑이용센터","C0744","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","최은경","1165000000","서초구","서울특별시 서초구 헌릉로468길 21-16 (내곡동)(내곡동)","10","10","02-525-2536","06796"
"다솜장애인주간보호센터","C0748","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이미순","1141000000","서대문구","서울특별시 서대문구 증가로4길 531층","15","15","02-372-4120","03664"
"신목장애인주간보호시설","C0750","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","김광제 ","1147000000","양천구","서울특별시 양천구 신목로 5(신정2동1278-1)","20","20","02-2643-7222","158764"
"주바라기해피홈","C0770","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","유선미","1132000000","도봉구","서울특별시 도봉구 도봉로169가길 45도봉동","20","20","02-3492-9135","01305"
"강북구수어통역센터","C0793","(장애인) 수화통역센터","장애인지역사회재활시설","자치구","안정인","1130500000","강북구","서울특별시 강북구 도봉로 3885층 (번동,테마빌딩)","46","7115","02-990-0872","01056"
"관악구수어통역센터","C0798","(장애인) 수화통역센터","장애인지역사회재활시설","자치구","이선민","1162000000","관악구","서울특별시 관악구 쑥고개로 1281층 (봉천동)","44","100","02-865-4466","08832"
"도봉구수어통역센터","C0799","(장애인) 수화통역센터","장애인지역사회재활시설","자치구","문  진","1132000000","도봉구","서울특별시 도봉구 마들로13길 153옥산빌딩 4층 (창동)","0","0","02-900-2331","01411"
"서울특별시수어통역센터지원본부","C0808","(장애인) 수화통역센터","장애인지역사회재활시설","자치구","김정환","1141000000","서대문구","서울특별시 서대문구 경기대로 15엘림넷빌딩 3층 (충정로3가)","160","243","02-323-4996","03751"
"가브리엘주간보호센터","C0835","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","이춘희","1135000000","노원구","서울특별시 노원구 한글비석로24라길 94-13 (상계동)","0","11","02-951-9907","01657"
"동천발달장애인주간활동센터","C0908","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","곽의수","1135000000","노원구","서울특별시 노원구 노원로18길 41(하계동)","25","19","02-976-0563","01747"
"섬김주간보호센터","C0913","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","신연화","1135000000","노원구","서울특별시 노원구 덕릉로70가길 92서울특별시립북부장애인복지관내 1층","0","13","02-2092-1781","01772"
"위드주간보호센터","C0975","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","김영희","1138000000","은평구","서울특별시 은평구 갈현로15길 11-131층","10","13","02-385-5841","03430"
"해피죤","C1071","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","송고은","1174000000","강동구","서울특별시 강동구 상암로 195에이플러스 5층 502호","15","15","024295200","05295"
"바오로교실주간보호센터","C1077","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","한현미","1138000000","은평구","서울특별시 은평구 증산로5길 7 (증산동)","12","12","02-305-5180","03500"
"성북구수어통역센터","C1132","(장애인) 수화통역센터","장애인지역사회재활시설","자치구","윤현주","1129000000","성북구","서울특별시 성북구 아리랑로4길 22201호 (동선동4가)","35","6707","02-922-7892","02829"
"아이비주간보호시설","C1143","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","문정현","1174000000","강동구","서울특별시 강동구 천중로 874층 (천호동)","10","10","02-474-3825","05321"
"하은장애인주간보호시설","C1199","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","송영훈","1147000000","양천구","서울특별시 양천구 신목로 203층","10","11","02-2654-0562","08015"
"예은장애인주간보호시설","C1213","(장애인) 장애인주간보호시설","장애인지역사회재활시설","자치구","민경미","1153000000","구로구","서울특별시 구로구 부일로15길 25-5금강빌딩 4층","10","14","02-2616-4282","152883"
