"호선","역명","외부엘리베이터(E/V)","내부엘리베이터(E/V)","외부에스컬레이터(E/S)","내부에스컬레이터(E/S)","휠체어리프트(W/L)","수평자동보도(M/W)","비고"
"1호선","서울","2","1","","1","1","",""
"1호선","시청","1","2","2","","","",""
"1호선","종각","1","2","","","","",""
"1호선","종로3가","","2","2","","1","","피카디리연결통로이용"
"1호선","종로5가","1","2","","","","",""
"1호선","동대문","1","2","1","","","",""
"1호선","동묘앞","2","5","6","6","","",""
"1호선","신설동","3","2","","","6","",""
"1호선","제기동","1","2","2","","","",""
"1호선","청량리","1","1","2","","1","","내부(E/V)에Lift1대포함"
"2호선","시청","1","1","","2","","",""
"2호선","을지입구","2","2","2","","1","",""
"2호선","을지3가","","2","","","","","3호선이용가능"
"2호선","을지4가","1","2","","","","",""
"2호선","동대문역사문화공원","1","2","2","","","",""
"2호선","신당","1","2","2","","1","",""
"2호선","상왕십리","1","2","","","","",""
"2호선","왕십리","","2","2","6","2","","외부5호선이용"
"2호선","한양대","1","2","2","","","","내부(E/V)에Lift2대포함"
"2호선","뚝섬","1","2","6","","","",""
"2호선","성수","2","","8","","2","",""
"2호선","건대입구","1","","2","","1","","외부연결통로이용"
"2호선","구의","1","1","6","","","",""
"2호선","강변","","2","","","","","외부경사로이용"
"2호선","잠실나루","","2","","2","","","외부경사로이용"
"2호선","잠실","1","2","2","","2","",""
"2호선","신천","2","2","11","","","",""
"2호선","종합운동장","1","2","2","","","",""
"2호선","삼성","3","1","2","","1","",""
"2호선","선릉","2","","2","","","","내부철도공사이용"
"2호선","역삼","2","2","8","4","","",""
"2호선","강남","2","2","","","","",""
"2호선","교대","1","2","2","","","",""
"2호선","서초","1","2","2","","","",""
"2호선","방배","1","2","","","","",""
"2호선","사당","1","1","4","8","","",""
"2호선","낙성대","1","2","2","","","",""
"2호선","서울대입구","1","1","4","4","","",""
"2호선","봉천","1","1","4","2","","",""
"2호선","신림","2","1","3","","","","외부연결통로이용"
"2호선","신대방","1","2","","8","","",""
"2호선","구로디지털","1","2","4","","","",""
"2호선","대림","2","2","4","","","",""
"2호선","신도림","1","2","","9","2","",""
"2호선","문래","1","2","4","","","",""
"2호선","영등포구청","1","2","2","","","",""
"2호선","당산","1","2","1","","","",""
"2호선","합정","1","2","2","2","","",""
"2호선","홍대입구","1","1","2","2","","",""
"2호선","신촌","1","2","2","","","",""
"2호선","이대","1","1","","4","","","내부경사형EV"
"2호선","아현","1","2","","","","",""
"2호선","충정로","1","1","","4","","",""
"2호선","신설동","1","1","","","6","",""
"2호선","용두","2","2","10","2","","",""
"2호선","신답","","2","","","1","",""
"2호선","용답","","1","","","1","","내부(E/V)에Lift1대포함"
"2호선","도림천","1","1","","","","",""
"2호선","양천구청","1","2","","","","",""
"2호선","신정네거리","1","2","","","1","",""
"3호선","지축","","1","","","","",""
"3호선","구파발","1","1","2","","","",""
"3호선","연신내","","1","4","","","","외부6호선이용"
"3호선","불광","1","2","2","","","",""
"3호선","녹번","1","1","","","","",""
"3호선","홍제","2","1","","","","",""
"3호선","무악재","1","2","","","","",""
"3호선","독립문","1","1","","4","","",""
"3호선","경복궁","1","1","","8","","",""
"3호선","안국","1","1","","8","","",""
"3호선","종로3가","","","","6","5","2","외부피카디리이용"
"3호선","을지3가","1","1","","2","","",""
"3호선","충무로","","","","","","","외부4호선이용"
"3호선","동대입구","1","1","2","","","",""
"3호선","약수","1","1","2","","","",""
"3호선","금호","1","1","4","","","",""
"3호선","옥수","1","","2","","2","",""
"3호선","압구정","1","2","3","","","",""
"3호선","신사","1","2","4","2","","",""
"3호선","잠원","1","2","","","","",""
"3호선","고속터미널","","2","","24","1","",""
"3호선","교대","","1","","2","1","",""
"3호선","남부터미널","1","2","2","","","",""
"3호선","양재","2","2","2","","","",""
"3호선","매봉","1","2","","","","",""
"3호선","도곡","","","","8","","","내외부분당선이용"
"3호선","대치","1","1","2","4","","",""
"3호선","학여울","1","2","","2","","",""
"3호선","대청","1","2","","","","",""
"3호선","일원","1","2","","","","",""
"3호선","수서","2","2","6","","","",""
"3호선","가락시장","1","2","4","18","","",""
"3호선","경찰병원","2","2","6","14","","",""
"3호선","오금","1","2","3","12","","",""
"4호선","당고개","1","2","","","","",""
"4호선","상계","1","2","","","","","내부(E/V)에Lift2대포함"
"4호선","노원","2","2","2","","","",""
"4호선","창동","2","","2","","6","",""
"4호선","쌍문","1","2","2","","","",""
"4호선","수유","1","2","4","","","",""
"4호선","미아","1","2","2","","","",""
"4호선","미아삼거리","","2","2","","","","외부연결통로이용"
"4호선","길음","2","1","3","","","",""
"4호선","성신여대입구","2","2","3","","","",""
"4호선","한성대입구","1","1","","","","",""
"4호선","혜화","2","2","2","","","",""
"4호선","동대문","1","2","","6","","","내부(E/V)에Lift1대포함"
"4호선","동대문역사문화공원","","1","","6","","","내부2호선이용"
"4호선","충무로","1","2","2","20","1","",""
"4호선","명동","","","","4","3","",""
"4호선","회현","","1","","6","1","",""
"4호선","서울","1","1","2","2","2","",""
"4호선","숙대입구","1","2","","","","",""
"4호선","삼각지","2","2","4","","","",""
"4호선","신용산","","2","2","","1","",""
"4호선","이촌","2","2","4","","1","",""
"4호선","동작","","2","","","","",""
"4호선","총신대입구","2","2","","","","",""
"4호선","사당","1","1","6","1","1","",""
"4호선","남태령","1","2","","2","","","내부경사형EV"
