ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLUB_NM,TROBL_TY_NM,OPER_TIME_CN,CLUB_INTRCN_CN
검도,,경기,동두천시,두드림 장애인 검도,기타장애,매주 수요일 13:00~14:30,
게이트볼,,충북,보은군,2022 보아게이트볼클럽,청각장애,매주 화 오후 1시~3시30분,
게이트볼,,충남,예산군,예산농아인게이트볼클럽,청각장애,매주 화요일 오전 10시,매주 화요일 오전 10시부터 예산공설운동장 게이트볼장에서 진행하는 예산농아인 게이트볼클럽입니다.
게이트볼,,경남,의령군,토요애장애인게이트볼클럽,지체장애,매주 토 오후1시반,토요애 게이트볼 클럽은 장애인들의 사회참여를 유도하며 재활의 의지를 높이기 위한 동아리입니다.  게이트볼 활동으로 활동을 많이 하기 어려운 장애인들의 신진대사를 활성화하며 건강한 신체를 유지하고 삶의 질을 향상시킵니다.  경상남도 의령군에 거주하고 있는 장애인과 장애인을 사랑하는 사람으로 본 동아리가 설립되었으며 장애인들의 친목을 증진시키고 상부상조와 우애를 바탕으로 큰사랑을 나누는 데에 그 목적이 있습니다.  매주 1회 3시간씩 게이트볼장에서 동아리회원들이 친선경기를 가지고 교육도 받고 있습니다. 각종 대회에도 참가하여 수상한 경력도 있으며 장애인들의 활력소로 클럽활동을 진행하고 있습니다.
게이트볼,,경기,군포시,군포시 농아인게이트볼클럽,청각장애,"매주 화,수 10시~12시",농아인분들이 즐겁게 활동 할 수 있는 클럽입니다.
게이트볼,,경남,통영시,한울타리게이트볼,지체장애,매주 평일 13시,"한울타리 게이트볼 동아리는 통영시 북신동 장애인게이트볼장에서 실시되는 동아리로, 각종 대회에 참여하여 수상한 경력이 있으며 지체장애인과 뇌병변 장애인, 비장애인이 함께 어울려 활동하는 동아리 입니다."
게이트볼,,경남,하동군,하동길벗,청각장애,매주 목요일 9,
게이트볼,,경남,고성군,고성농빛게이트볼,청각장애,매주 목요일,
게이트볼,,대구,수성구,수성게이트볼클럽,지체장애,매주화요일 오전10시,수성장애인주간보호센터를 이용하는 지역 장애인들이 정기적으로 게이트볼운동을 즐기는 클럽입니다.
게이트볼,,충남,서천군,(도비) 산재게이트볼클럽,지체장애,"매주월,10시",
게이트볼,,경남,사천시,사)경남지체장애인협회 사천시지회 한울타리,지체장애,"매주 금,토,일 오후 1시",장애인회원과 비장애인회원이 함께 건전한 생활체육 활동을 합니다.
게이트볼,,경남,진주시,일송게이트볼,지체장애,"수,토 오후1~5시",게이트볼 친목도모
게이트볼,,충남,논산시,(도비)논산시장애인장애인게이트볼클럽,지체장애,매주 화 10:00~12:00,안녕하세요! 논산시장애인게이트볼클럽입니다    논산시민운동장 게이트볼구장에서 매주 화요일 10시~12시까지 진행하고 있으니    많은 관심부탁드립니다!!^^
게이트볼,,광주,남구,진월게이드볼동호클럽,기타장애,매주 월화목 오전9시,기타 일반장애인들이 모여서 운동을하면서 여가를즐기며 즈겁게생활하고있습니다
게이트볼,,경남,창원시진해구,손사랑게이트볼동아리,청각장애,"매주 월, 수, 금 오후 14시",경남 창원시 진해구 지역 내 청각.언어 장애인과 수어통역사들의 어울림 게이트볼 동아리입니다
게이트볼,,경기,의왕시,의왕시장애인게이트볼클럽,지체장애,매주 수 09:30,
게이트볼,,전남,진도군,진도군장애인게이트볼클럽,기타장애,매주 화 오전 10시,진도군장애인게이트볼클럽입니다.
게이트볼,,충남,청양군,(도비)데프게이트볼클럽,청각장애,매주 수 오후 2시,
게이트볼,,경기,구리시,오뚜기클럽,지체장애,매주 화요일 15:00-16:00,
게이트볼,,서울,노원구,노원 데프이글스 게이트볼클럽,청각장애,"매주월~금,오전9시~12시","청각장애인의 건강증진,여가활동,친목도모등을 위한 게이트볼클럽임"
게이트볼,,경기,성남시,성남농아인게이트볼클럽,청각장애,"매주 월, 수, 금 오전10시~12시",
게이트볼,,충남,보령시,정심게이트볼클럽,지적장애,"매주 월,목 오후 15시 30분",안녕하세요. 저희는 지적장애인을 대상으로 하는 정심게이트볼클럽입니다.
게이트볼,,충남,금산군,(군비)2022 금산군 게이트볼 어울림 동호회,지체장애,"매주 수,목 오전 10시",
게이트볼,,경기,광명시,광명시장애인게이트볼클럽,지체장애,금 오전 9시,
게이트볼,,경기,하남시,하남시장애인게이트볼클럽,지체장애,"매주 화,목 오전10시",
게이트볼,,경남,양산시,으랏차차게이트볼,지체장애,오후1-5,우리읏라차차게이트볼은 서로 정보교류와 건강정진을위하여 체육동아리하고있어요
게이트볼,,경남,진주시,남가람게이트볼회,지체장애,"수,토 오후1~3시","게이트볼, 친목도모, 건강증진"
게이트볼,,경남,창원시,마산농아인게이트볼클럽,청각장애,"매주 월,화,수,목 오후 2시",스포츠를 통하여 농아인의 체력 단력 및 사회통합 도모
게이트볼,,경기,안성시,안성맞춤농아게이트볼클럽,청각장애,"매주 화,목  오전10시",
게이트볼,,전북,부안군,지체장애인협회부안군지회,지체장애,"매주 월,수 14시",전북지체장애인협회 부안군지회에서 운영하고 있으며 부안거주 지체장애인이면 누구나 가입할 수 있으며 건강증진 차원에서 결성되었습니다. 게이트볼은 누구나 할 수있는 생활체육으로 정신적 육체적 건강을 추구하는 모임입니다.
게이트볼,,충남,공주시,공주시장애인게이트볼동호회,지체장애,매주 월 오전10시,"매주 월 오전10시에 장애인게이트볼동호회 활동을 진행합니다.  장애인, 비장애인 함께 어울리는 어울림동호회입니다."
