ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCDCIO22N000000001,문화시설,문화시설_보호구역,강동노인회관,11,서울특별시,11740,강동구,1174010100,,1.17404E+11,서울특별시 강동구 천중로49길 104(명일동),서울특별시 강동구 명일동 351-2 샘물경로당,"104 Cheonjung-ro 49-gil, Gangdong-gu, Seoul",1174010100,샘물경로당,1.17401E+24,02-3425-5070,05296,,37.5452576,127.1447460,공공데이터,,20230207,20230207
KCDCIO22N000000002,문화시설,문화시설_보호구역,우물1리 경로당,47,경상북도,47250,상주시,4725031027,우물리,4.72503E+11,경상북도 상주시 중동면 중동단밀로 81,경상북도 상주시 중동면 우물리 690-1,"81 Jungdongdanmil-ro, Jungdong-myeon, Sangju-si, Gyeongsangbuk-do",4725031027,,4.72503E+24,054-537-7548,37246,,36.4106937,128.3164032,공공데이터,,20230207,20230207
KCDCIO22N000000003,문화시설,문화시설_보호구역,거동 경로당,47,경상북도,47250,상주시,4725011800,,4.72505E+11,경상북도 상주시 거동1길 5(거동동),경상북도 상주시 거동동 123,"5 Geodong 1-gil, Sangju-si, Gyeongsangbuk-do",4725011800,,4.72501E+24,054-537-7548,37244,,36.3846610,128.1771124,공공데이터,,20230207,20230207
KCDCIO22N000000004,문화시설,문화시설_보호구역,지천 경로당,47,경상북도,47250,상주시,4725011500,,4.72505E+11,경상북도 상주시 지천2길 29(지천동),경상북도 상주시 지천동 523-6,"29 Jicheon 2-gil, Sangju-si, Gyeongsangbuk-do",4725011500,,4.72501E+24,054-537-7548,37228,,36.3615290,128.1528390,공공데이터,,20230207,20230207
KCDCIO22N000000005,문화시설,문화시설_보호구역,원흥3리 경로당,47,경상북도,47250,상주시,4725032522,원흥리,4.72505E+11,경상북도 상주시 사벌국면 원흥2길 5,경상북도 상주시 사벌국면 원흥리 638-27,"5 Wonheung 2-gil, Sabeolgung-myeon, Sangju-si, Gyeongsangbuk-do",4725032522,,4.72503E+24,054-537-7548,37122,,36.4681350,128.1846062,공공데이터,,20230207,20230207
KCDCIO22N000000006,문화시설,문화시설_보호구역,두릉리 경로당,47,경상북도,47250,상주시,4725032523,두릉리,4.72505E+11,경상북도 상주시 사벌국면 두릉1길 11,경상북도 상주시 사벌국면 두릉리 308-8,"11 Dureung 1-gil, Sabeolgung-myeon, Sangju-si, Gyeongsangbuk-do",4725032523,,4.72503E+24,054-537-7548,37122,,36.4912410,128.1889741,공공데이터,,20230207,20230207
KCDCIO22N000000007,문화시설,문화시설_보호구역,죽암1리 중리 경로당,47,경상북도,47250,상주시,4725031023,죽암리,4.72503E+11,경상북도 상주시 중동면 덕암로 249-4,경상북도 상주시 중동면 죽암리 775-4,"249-4 Deogam-ro, Jungdong-myeon, Sangju-si, Gyeongsangbuk-do",4725031023,,4.72503E+24,054-537-7548,37245,,36.4209542,128.2585157,공공데이터,,20230207,20230207
KCDCIO22N000000008,문화시설,문화시설_보호구역,옥산2리 경로당,47,경상북도,47250,상주시,4725035021,옥산리,4.72505E+11,경상북도 상주시 공성면 옥산4길 21,경상북도 상주시 공성면 옥산리 177-12,"21 Oksan 4-gil, Gongseong-myeon, Sangju-si, Gyeongsangbuk-do",4725035021,,4.72504E+24,054-537-7548,37267,,36.2855566,128.0929650,공공데이터,,20230207,20230207
KCDCIO22N000000009,문화시설,문화시설_보호구역,상판1리 경로당,47,경상북도,47250,상주시,4725038026,상판리,4.72505E+11,경상북도 상주시 모동면 상판2길 19,경상북도 상주시 모동면 상판리 459,"19 Sangpan 2-gil, Modong-myeon, Sangju-si, Gyeongsangbuk-do",4725038026,,4.72504E+24,054-537-7548,37273,,36.2994814,128.0024452,공공데이터,,20230207,20230207
KCDCIO22N000000010,문화시설,문화시설_보호구역,호음1리 경로당,47,경상북도,47250,상주시,4725039032,호음리,4.72503E+11,경상북도 상주시 모서면 백화로 223,경상북도 상주시 모서면 호음리 479,"223 Baekhwa-ro, Moseo-myeon, Sangju-si, Gyeongsangbuk-do",4725039032,,4.72504E+24,054-537-7548,37276,,36.2956310,127.8649899,공공데이터,,20230207,20230207
KCDCIO22N000000011,문화시설,문화시설_보호구역,백학1리 목과 경로당,47,경상북도,47250,상주시,4725039030,백학리,4.72505E+11,경상북도 상주시 모서면 백학1길 14-12,경상북도 상주시 모서면 백학리 585-1,"14-12 Baekhak 1-gil, Moseo-myeon, Sangju-si, Gyeongsangbuk-do",4725039030,,4.72504E+24,054-537-7548,37276,,36.3161419,127.8847959,공공데이터,,20230207,20230207
KCDCIO22N000000012,문화시설,문화시설_보호구역,지산2리 경로당,47,경상북도,47250,상주시,4725039027,지산리,4.72503E+11,경상북도 상주시 모서면 지산보미로 1,경상북도 상주시 모서면 지산리 396-6,"1 Jisanbomi-ro, Moseo-myeon, Sangju-si, Gyeongsangbuk-do",4725039027,,4.72504E+24,054-537-7548,37275,,36.3470030,127.9381940,공공데이터,,20230207,20230207
KCDCIO22N000000013,문화시설,문화시설_보호구역,입석1리 경로당,47,경상북도,47250,상주시,4725042024,입석리,4.72503E+11,경상북도 상주시 화북면 문장로 2529,경상북도 상주시 화북면 입석리 72-3,"2529 Munjang-ro, Hwabuk-myeon, Sangju-si, Gyeongsangbuk-do",4725042024,,4.72504E+24,054-537-7548,37101,,36.6278135,127.8899590,공공데이터,,20230207,20230207
KCDCIO22N000000014,문화시설,문화시설_보호구역,대한노인회 외남면 분회,47,경상북도,47250,상주시,4725036025,신상리,4.72503E+11,경상북도 상주시 외남면 석단로 939-4,경상북도 상주시 외남면 신상리 540-1,"939-4 Seokdan-ro, Oenam-myeon, Sangju-si, Gyeongsangbuk-do",4725036025,,4.72504E+24,054-537-7548,37259,,36.3582940,128.0891320,공공데이터,,20230207,20230207
KCDCIO22N000000015,문화시설,문화시설_보호구역,봉중리시장 경로당,47,경상북도,47250,상주시,4725044021,봉중리,4.72503E+11,경상북도 상주시 은척면 성주로 762-1,경상북도 상주시 은척면 봉중리 470-13,"762-1 Seongju-ro, Euncheok-myeon, Sangju-si, Gyeongsangbuk-do",4725044021,,4.72504E+24,054-537-7548,37104,,36.5336926,128.0730840,공공데이터,,20230207,20230207
KCDCIO22N000000016,문화시설,문화시설_보호구역,남곡1리 경로당,47,경상북도,47250,상주시,4725044024,남곡리,4.72503E+11,경상북도 상주시 은척면 성주로 527-16,경상북도 상주시 은척면 남곡리 257,"527-16 Seongju-ro, Euncheok-myeon, Sangju-si, Gyeongsangbuk-do",4725044024,,4.72504E+24,054-537-7548,37104,,36.5400390,128.0500970,공공데이터,,20230207,20230207
KCDCIO22N000000017,문화시설,문화시설_보호구역,황령1리 경로당,47,경상북도,47250,상주시,4725044029,황령리,4.72503E+11,경상북도 상주시 은척면 성주로 162-10,경상북도 상주시 은척면 황령리 134-3,"162-10 Seongju-ro, Euncheok-myeon, Sangju-si, Gyeongsangbuk-do",4725044029,,4.72504E+24,054-537-7548,37103,,36.5330710,128.0174798,공공데이터,,20230207,20230207
KCDCIO22N000000018,문화시설,문화시설_보호구역,예의2리 경로당,47,경상북도,47250,상주시,4725043032,예의리,4.72503E+11,경상북도 상주시 외서면 삼령로 337,경상북도 상주시 외서면 예의리 253,"337 Samnyeong-ro, Oeseo-myeon, Sangju-si, Gyeongsangbuk-do",4725043032,,4.72504E+24,054-537-7548,37133,,36.4739710,128.0059740,공공데이터,,20230207,20230207
KCDCIO22N000000019,문화시설,문화시설_보호구역,율림리 경로당,47,경상북도,47250,상주시,4725041027,율림리,4.72505E+11,경상북도 상주시 화서면 율림1길 8-8,경상북도 상주시 화서면 율림리 123-13,"8-8 Yullim 1-gil, Hwaseo-myeon, Sangju-si, Gyeongsangbuk-do",4725041027,,4.72504E+24,054-537-7548,37143,,36.4141986,127.9357507,공공데이터,,20230207,20230207
KCDCIO22N000000020,문화시설,문화시설_보호구역,입석1리 회룡동 경로당,47,경상북도,47250,상주시,4725042024,입석리,4.72505E+11,경상북도 상주시 화북면 입석3길 49,경상북도 상주시 화북면 입석리 145,"49 Ipseok 3-gil, Hwabuk-myeon, Sangju-si, Gyeongsangbuk-do",4725042024,,4.72504E+24,054-537-7548,37101,,36.6227660,127.8908760,공공데이터,,20230207,20230207
KCDCIO22N000000021,문화시설,문화시설_보호구역,상오1리 서재 경로당,47,경상북도,47250,상주시,4725042023,상오리,4.72505E+11,경상북도 상주시 화북면 상오4길 8,경상북도 상주시 화북면 상오리 120-1,"8 Sango 4-gil, Hwabuk-myeon, Sangju-si, Gyeongsangbuk-do",4725042023,,4.72504E+24,054-537-7548,37102,,36.5265508,127.9377220,공공데이터,,20230207,20230207
KCDCIO22N000000022,문화시설,문화시설_보호구역,거동2동 경로당,47,경상북도,47250,상주시,4725011800,,4.72503E+11,경상북도 상주시 선상서로 2462-2(거동동),경상북도 상주시 거동동 338-10,"2462-2 Seonsangseo-ro, Sangju-si, Gyeongsangbuk-do",4725011800,,4.72501E+24,054-537-7548,37244,,36.3786460,128.1806905,공공데이터,,20230207,20230207
KCDCIO22N000000023,문화시설,문화시설_보호구역,오사1리 경로당,47,경상북도,47250,상주시,4725025023,오사리,4.72505E+11,경상북도 상주시 함창읍 오사1길 29-1,경상북도 상주시 함창읍 오사리 191-3,"29-1 Osa 1-gil, Hamchang-eup, Sangju-si, Gyeongsangbuk-do",4725025023,,4.72503E+24,054-537-7548,37117,,36.5632770,128.1774390,공공데이터,,20230207,20230207
