GRP_NM,LOCPLC_DC,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_CD_NM
"(사)세계문자서예협회","세종 연서면","29","세종특별자치시","29010","연서면"
"(사)한국국악협회 세종시지회","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"(사)한국놀이문화협회세종지부","세종 장군면","29","세종특별자치시","29010","장군면"
"(사)한국무용협회세종시지회","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"(사)한국문화예술산업진흥회 세종시지회","세종 어진동","29","세종특별자치시","29010","어진동"
"(사)한국미술협회세종지회","세종 연서면","29","세종특별자치시","29010","연서면"
"(사)한국조형미술협회 세종특별자치시지회","세종 나성동","29","세종특별자치시","29010","나성동"
"(사)한국조형미술협회 세종특별자치시지회","세종 보람동","29","세종특별자치시","29010","보람동"
"(사)한소리보존회","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"(주)PAL문화유산센터","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"(주)미래엔","세종 연동면","29","세종특별자치시","29010","연동면"
"653예술상회","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"NA_MU","세종 연동면","29","세종특별자치시","29010","연동면"
"ncas10g","세종 고창군","29","세종특별자치시","29010","고창군"
"ncas13g","세종 나성동","29","세종특별자치시","29010","나성동"
"ncas17g","세종 중구","29","세종특별자치시","29010","중구"
"ncas1g","세종 달서구","29","세종특별자치시","29010","달서구"
"ncas1g","세종 장군면","29","세종특별자치시","29010","장군면"
"ncas9g","세종 고창군","29","세종특별자치시","29010","고창군"
"가온누리 어린이합창단","세종 고운동","29","세종특별자치시","29010","고운동"
"감성스토리","세종 고운동","29","세종특별자치시","29010","고운동"
"광복회 세종시지부","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"국악실내악단끌림","세종 소담동","29","세종특별자치시","29010","소담동"
"국악앙상블 예다음","세종 소담동","29","세종특별자치시","29010","소담동"
"국악앙상블TaM(耽)","세종 종촌동","29","세종특별자치시","29010","종촌동"
"국악앙상블아띠누리","세종 어진동","29","세종특별자치시","29010","어진동"
"국악오케스트라 소율","세종 다정동","29","세종특별자치시","29010","다정동"
"국제아트컴퍼니 몸","세종 소담동","29","세종특별자치시","29010","소담동"
"극단 예락","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"극단 종이달","세종 어진동","29","세종특별자치시","29010","어진동"
"극단 책먹는 여우","세종 아름동","29","세종특별자치시","29010","아름동"
"극단길라잡이","세종 보람동","29","세종특별자치시","29010","보람동"
"극단메카네","세종 다정동","29","세종특별자치시","29010","다정동"
"극단메카네","세종 보람동","29","세종특별자치시","29010","보람동"
"극단메카네","세종 소담동","29","세종특별자치시","29010","소담동"
"극단메카네","세종 어진동","29","세종특별자치시","29010","어진동"
"극단예인","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"근린예술조합","세종 한솔동","29","세종특별자치시","29010","한솔동"
"금강의 소설가들","세종 도담동","29","세종특별자치시","29010","도담동"
"김무단댄스프로젝트","세종 보람동","29","세종특별자치시","29010","보람동"
"나무나무스토어","세종 소담동","29","세종특별자치시","29010","소담동"
"노래하는 그림책","세종 나성동","29","세종특별자치시","29010","나성동"
"뉴세종오페라단","세종 아름동","29","세종특별자치시","29010","아름동"
"늘푸른캠퍼스","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"다온","세종 반곡동","29","세종특별자치시","29010","반곡동"
"다인 앙상블","세종 아름동","29","세종특별자치시","29010","아름동"
"단하전통예술원","세종 나성동","29","세종특별자치시","29010","나성동"
"더 세움","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"더 크리에이티브 판","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"더 큰 행복을 찾아가는 세종하하공연단","세종 새롬동","29","세종특별자치시","29010","새롬동"
"더:춤","세종 종촌동","29","세종특별자치시","29010","종촌동"
"더원유스오케스트라","세종 고운동","29","세종특별자치시","29010","고운동"
"도원무용단","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"두잉지프로젝트","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"라디바(La Diva)","세종 종촌동","29","세종특별자치시","29010","종촌동"
"라라콜렉티브","세종 종촌동","29","세종특별자치시","29010","종촌동"
"라운즈","세종 다정동","29","세종특별자치시","29010","다정동"
"라포엠뮤지컬앙상블","세종 고운동","29","세종특별자치시","29010","고운동"
"레브","세종 고운동","29","세종특별자치시","29010","고운동"
"레알 슈팀메","세종 한솔동","29","세종특별자치시","29010","한솔동"
"리블링스앙상블","세종 어진동","29","세종특별자치시","29010","어진동"
"리얼매직","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
"마실축제단","세종 조치원읍","29","세종특별자치시","29010","조치원읍"
